Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,179,8,Some Random Commen with Id 0
1,0,1,174,1,Some Random Commen with Id 1
2,0,1,8,9,Some Random Commen with Id 2
3,0,1,90,3,Some Random Commen with Id 3
4,0,1,7,4,Some Random Commen with Id 4
5,1,9,35,8,Some Random Commen with Id 5
6,1,9,5,5,Some Random Commen with Id 6
7,1,9,69,3,Some Random Commen with Id 7
8,1,9,41,2,Some Random Commen with Id 8
9,1,9,130,0,Some Random Commen with Id 9
10,1,9,12,1,Some Random Commen with Id 10
11,1,9,58,5,Some Random Commen with Id 11
12,1,9,55,6,Some Random Commen with Id 12
13,1,9,117,8,Some Random Commen with Id 13
14,2,8,16,3,Some Random Commen with Id 14
15,2,8,111,3,Some Random Commen with Id 15
16,2,8,109,4,Some Random Commen with Id 16
17,2,8,190,1,Some Random Commen with Id 17
18,3,7,173,8,Some Random Commen with Id 18
19,3,7,158,2,Some Random Commen with Id 19
20,3,7,115,7,Some Random Commen with Id 20
21,3,7,97,5,Some Random Commen with Id 21
22,3,7,129,7,Some Random Commen with Id 22
23,3,7,102,5,Some Random Commen with Id 23
24,3,7,72,4,Some Random Commen with Id 24
25,3,7,55,4,Some Random Commen with Id 25
26,5,5,47,6,Some Random Commen with Id 26
27,5,5,164,8,Some Random Commen with Id 27
28,5,5,150,3,Some Random Commen with Id 28
29,5,5,185,7,Some Random Commen with Id 29
30,5,5,171,4,Some Random Commen with Id 30
31,5,5,97,0,Some Random Commen with Id 31
32,6,8,105,6,Some Random Commen with Id 32
33,6,8,172,6,Some Random Commen with Id 33
34,6,8,109,2,Some Random Commen with Id 34
35,6,8,88,5,Some Random Commen with Id 35
36,6,8,35,9,Some Random Commen with Id 36
37,6,8,168,6,Some Random Commen with Id 37
38,6,8,197,6,Some Random Commen with Id 38
39,6,8,199,9,Some Random Commen with Id 39
40,6,8,4,2,Some Random Commen with Id 40
41,7,7,186,1,Some Random Commen with Id 41
42,7,7,15,7,Some Random Commen with Id 42
43,7,7,64,8,Some Random Commen with Id 43
44,7,7,55,2,Some Random Commen with Id 44
45,7,7,166,7,Some Random Commen with Id 45
46,7,7,14,4,Some Random Commen with Id 46
47,7,7,41,3,Some Random Commen with Id 47
48,7,7,36,7,Some Random Commen with Id 48
49,7,7,22,0,Some Random Commen with Id 49
50,9,9,41,6,Some Random Commen with Id 50
51,9,9,0,9,Some Random Commen with Id 51
52,9,9,120,5,Some Random Commen with Id 52
53,9,9,171,5,Some Random Commen with Id 53
54,9,9,16,3,Some Random Commen with Id 54
55,10,0,134,7,Some Random Commen with Id 55
56,10,0,150,2,Some Random Commen with Id 56
57,11,7,146,3,Some Random Commen with Id 57
58,11,7,11,4,Some Random Commen with Id 58
59,11,7,112,8,Some Random Commen with Id 59
60,11,7,135,6,Some Random Commen with Id 60
61,11,7,135,7,Some Random Commen with Id 61
62,11,7,183,9,Some Random Commen with Id 62
63,11,7,88,7,Some Random Commen with Id 63
64,11,7,189,2,Some Random Commen with Id 64
65,12,8,153,8,Some Random Commen with Id 65
66,12,8,36,9,Some Random Commen with Id 66
67,12,8,138,5,Some Random Commen with Id 67
68,13,9,46,2,Some Random Commen with Id 68
69,13,9,71,6,Some Random Commen with Id 69
70,13,9,146,7,Some Random Commen with Id 70
71,13,9,129,2,Some Random Commen with Id 71
72,13,9,43,0,Some Random Commen with Id 72
73,14,3,178,8,Some Random Commen with Id 73
74,14,3,133,3,Some Random Commen with Id 74
75,14,3,53,0,Some Random Commen with Id 75
76,14,3,160,4,Some Random Commen with Id 76
77,15,5,16,8,Some Random Commen with Id 77
78,15,5,112,0,Some Random Commen with Id 78
79,15,5,139,0,Some Random Commen with Id 79
80,15,5,22,4,Some Random Commen with Id 80
81,15,5,67,5,Some Random Commen with Id 81
82,15,5,196,9,Some Random Commen with Id 82
83,15,5,103,0,Some Random Commen with Id 83
84,15,5,144,5,Some Random Commen with Id 84
85,15,5,120,5,Some Random Commen with Id 85
86,16,1,63,1,Some Random Commen with Id 86
87,16,1,144,8,Some Random Commen with Id 87
88,16,1,20,9,Some Random Commen with Id 88
89,16,1,108,6,Some Random Commen with Id 89
90,16,1,49,9,Some Random Commen with Id 90
91,16,1,164,4,Some Random Commen with Id 91
92,16,1,60,3,Some Random Commen with Id 92
93,16,1,95,3,Some Random Commen with Id 93
94,17,2,151,0,Some Random Commen with Id 94
95,17,2,99,2,Some Random Commen with Id 95
96,17,2,180,5,Some Random Commen with Id 96
97,17,2,18,3,Some Random Commen with Id 97
98,17,2,101,5,Some Random Commen with Id 98
99,17,2,186,0,Some Random Commen with Id 99
100,18,2,110,2,Some Random Commen with Id 100
101,18,2,197,1,Some Random Commen with Id 101
102,18,2,79,1,Some Random Commen with Id 102
103,18,2,38,1,Some Random Commen with Id 103
104,18,2,7,7,Some Random Commen with Id 104
105,18,2,78,2,Some Random Commen with Id 105
106,18,2,62,0,Some Random Commen with Id 106
107,19,1,51,8,Some Random Commen with Id 107
108,19,1,114,6,Some Random Commen with Id 108
109,19,1,106,1,Some Random Commen with Id 109
110,19,1,42,0,Some Random Commen with Id 110
111,19,1,148,1,Some Random Commen with Id 111
112,19,1,101,6,Some Random Commen with Id 112
113,19,1,172,0,Some Random Commen with Id 113
114,19,1,186,0,Some Random Commen with Id 114
